댓글 작성자,댓글 내용,댓글 작성 시간
"이준석 띄우기, 명태균 작품",":face-red-droopy-eyes:국민의힘, 동네 슈퍼도 운영할 능력 없다",2024-09-30 15:18:39
백도련,  동맹 든든합니다,2024-09-30 15:18:40
rtlkfcb,결국 힘이 문제다,2024-09-30 15:18:40
주먹고구마,이스라엘 형님들 싸움 세계 1위인듯,2024-09-30 15:18:41
GPTV,북한과 전쟁하면 민주당은 북한편,2024-09-30 15:18:41
hope new,우리가 선제 공격 해야 한다. ,2024-09-30 15:18:42
Beksiński,북한은 내부에서 무너질듯,2024-09-30 15:18:44
몽구스,킬구,2024-09-30 15:18:44
일신우일신,ㅋㅋ,2024-09-30 15:18:45
DAE YONG KIM,멋있다.,2024-09-30 15:18:48
일신우일신,객관적인,2024-09-30 15:18:49
주니,이스라엘이 인구만 우리나라처럼 오천만명이면 아마 중국이랑 1대1 해도 이길 확률 높을 듯,2024-09-30 15:18:51
일신우일신,주관이 아니라,2024-09-30 15:18:53
DAE YONG KIM,혈맹가자,2024-09-30 15:18:56
아스타나,트럼프가 싱가포르회담에서 북한 개방시키겠다고 한거,2024-09-30 15:18:57
sun kim,하마스 해충볼라 쫄티 완전제거 하고 중동평화 이룩하자,2024-09-30 15:18:58
"이준석 띄우기, 명태균 작품",:person-turqouise-waving:응급실뺑뺑이로 응급환자 34명중 13명 치료받지 못하고 죽어,2024-09-30 15:19:03
주먹고구마,이스라엘 씨다씨,2024-09-30 15:19:08
SAN KO,정은이 바짝 쫄겠네,2024-09-30 15:19:09
마이웨이,민주당이 안퍼주면 북한뿡괴 빨라짐,2024-09-30 15:19:15
rtlkfcb,니 도덕 기준이 절대 기준이라고 객관적이라고 오만 떨면서,2024-09-30 15:19:15
이원희,재믿는 사실은 말입니다.. 이스라엘의 아이언 돔... 분명히 한번 뚫렸으니 더 뚤으면 자동 항복인데 아랍권이 그러지 안고 있네요?,2024-09-30 15:19:18
아스타나,북한이 미국과 수교하면 북핵은 중국으로 향하는거,2024-09-30 15:19:18
rtlkfcb,세상 만사 그 같잖은 기준으로 평가질하고,2024-09-30 15:19:22
세레비,하나님은 하나님 거역한 인간들에겐 반드시 징벌내립니다,2024-09-30 15:19:23
hope new,북한을 정밀 타격해서 통일 하자 가자,2024-09-30 15:19:25
"이준석 띄우기, 명태균 작품",":face-orange-raised-eyebrow:이준석, 윤건희 공천개입 2년 숨겨주고 성상납 무혐의",2024-09-30 15:19:27
rtlkfcb,정작 힘은 없고 남탓밖에 못하는 것들,2024-09-30 15:19:30
세레비,하나님은 이스라엘편입니다,2024-09-30 15:19:30
SAN KO,현무5 3개면 정은이도?,2024-09-30 15:19:31
페리간부,예수를 죽인애들이 이스라엘인데 이스라엘빠는 넋나간 애들보면 답이없다.....,2024-09-30 15:19:32
문재인,이스라엘은 땅이 좁아서 금방 점령당함,2024-09-30 15:19:35
dmsqkswl,요즘은 지하에 숨는다고 사는게아니야 벙커버스터 뚫고들어가서 안에서터짐 ㅋㅋㅋㅋㅋㅋㅋ,2024-09-30 15:19:35
민만기,결국은 핵무기 보유가 이기는겨.한국도 핵무기가 있어야되,2024-09-30 15:19:39
Beksiński,후티반군 대변인 고음 그sekki 꼴보기 싫었는데 잘 됏다,2024-09-30 15:19:39
rtlkfcb,그러다 또 지면 도덕적이지 못하다 욕이나 하고 ㅋㅋ,2024-09-30 15:19:40
rtlkfcb,어휴 찌질해,2024-09-30 15:19:43
내맘이야,2차전쟁 유엔 군자금보탠 이스라엘 러시아 미국이우방이였는데,2024-09-30 15:19:45
Life,현무 ㅋㅋ,2024-09-30 15:19:49
세레비,하나님은 이스라엘에 무기를 주셨습니다,2024-09-30 15:19:49
주먹고구마,벤자민은 나무이름인데,2024-09-30 15:19:52
아스타나,박그네가 북한 쳐들어가려고 하다가 탄핵된거,2024-09-30 15:19:52
rtlkfcb,자기가 도덕적으로 객관적 판단이 가능하다는 오만부터 버려,2024-09-30 15:19:53
zzangddukee,하나님 거역은 유대인 아닌가??,2024-09-30 15:19:54
몽구스,나스랄라블라,2024-09-30 15:19:55
rtlkfcb,니가 객관이 아니야,2024-09-30 15:19:57
rtlkfcb,너도 주관이야,2024-09-30 15:19:58
하누,극좌파들이 안퍼줬음 북한 붕괴됬음 ㅋ,2024-09-30 15:20:01
rtlkfcb,나도 주관이고,2024-09-30 15:20:02
Life,실험 우리들이 봣나,2024-09-30 15:20:03
주먹고구마,네타냥후,2024-09-30 15:20:04
sun kim,우리는 이스라엘편이다,2024-09-30 15:20:07
주먹고구마,네타냥짱,2024-09-30 15:20:08
rtlkfcb,옳고 그럼의 의견은 가질 수 있지만,2024-09-30 15:20:09
세레비,하나님을 부정하고 욕설하는 인간들은 결국 불벼락맞고 지옥으로 떨어져 영원히 고통당합니다,2024-09-30 15:20:10
주니,왜케 싸워!!!!싸우지마,2024-09-30 15:20:11
문재인,하나는 없다,2024-09-30 15:20:11
rtlkfcb,니 의견이 절대적일 수 없어,2024-09-30 15:20:12
박성기,악은 근절해야되,2024-09-30 15:20:14
아스타나,하나님은 선악의 개념이 없음 창조신이야 그냥,2024-09-30 15:20:20
문재인,하나넘은 없다,2024-09-30 15:20:22
주먹고구마,네타냥 털레반이 문제,2024-09-30 15:20:22
민만기,나라가 군사력 없으면 일본한티 먹히는겨.,2024-09-30 15:20:28
LD,다들 불벼락맞고 천국가시길 바랍니다,2024-09-30 15:20:32
Life,국방부에서 걱정말라하면 되나보넹,2024-09-30 15:20:33
오아시스,토크멘터리 전쟁사 보고싶다,2024-09-30 15:20:36
인생은 아름다워,악의축,2024-09-30 15:20:36
"이준석 띄우기, 명태균 작품",":person-turqouise-waving:윤석열. 이준석 돌풍, 여론조작 띄우기 정황",2024-09-30 15:20:37
박성기,헉 문재인이가 있네?,2024-09-30 15:20:37
오아시스,토크멘터리 전쟁사 보고싶다,2024-09-30 15:20:41
문재인,우주의 티끌같은 존재들이 무슨 하나넘 타령을,2024-09-30 15:20:46
페리간부,나타냐후 저거 지 정구너 유지할라고 계속 시비거는건데 ㅋㅋㅋ 마냥 이스라엘이 정의라네 ㅋㅋㅋ,2024-09-30 15:20:46
오아시스,토크멘터리 전쟁사 보고싶다,2024-09-30 15:20:47
일신우일신,이스라엘 편을 들었나? 후티편을 들었나?,2024-09-30 15:20:47
주먹고구마,아이언돔 지리노,2024-09-30 15:20:48
세레비,하나님의 충실한 종인 이스라엘 유대인들은 하나님만 섬기기때문에 천국에 갑니다,2024-09-30 15:20:48
내맘이야,땅이작어서 끝이없는전쟁,2024-09-30 15:20:51
박성기,재인은 빵에는 언제가니?,2024-09-30 15:20:52
hope new,하나님이 없다는 시키는 지옥간다,2024-09-30 15:20:52
오아시스,토크멘터리 전쟁사 보고싶다,2024-09-30 15:20:53
일신우일신,도덕에 관해 말한거지,2024-09-30 15:20:56
오아시스,토크멘터리 전쟁사 보고싶다,2024-09-30 15:20:57
롱만 함,유일하게 동해 독도 표기 해주는 이스라엘 형님들 화이팅:red_heart::red_heart::red_heart:,2024-09-30 15:21:00
Chevalier,이란이 나서지 않을 수 없게 만들었는데.. 이란은 나설 생각이 없어보인다.,2024-09-30 15:21:01
오아시스,토크멘터리 전쟁사 보고싶다,2024-09-30 15:21:02
백도련,  동맹 든든합니다,2024-09-30 15:21:02
주먹고구마,아이언 돔 방어력 vs 콘돔 방어력,2024-09-30 15:21:02
rtlkfcb,너 말고 다른 사람한테 했던 이야기다,2024-09-30 15:21:06
문재인,이스라엘 쪼올딱 망할것임 핵맞고,2024-09-30 15:21:06
아스타나,다윗의 별은 그냥 북극성일뿐 ,2024-09-30 15:21:09
rtlkfcb,뒤에 끼어들어서 잡소리ㄴㄴ,2024-09-30 15:21:10
GPTV,이스라엘은 동맹아님,2024-09-30 15:21:14
문재인,교황도 이스라엘을 사탄으로 규정했다,2024-09-30 15:21:15
주먹고구마,아이언돔이 세냐 콘돔이 세냐,2024-09-30 15:21:16
"이준석 띄우기, 명태균 작품",:text-green-game-over:윤건희 2022년부터 공천개입 국정농단 정황,2024-09-30 15:21:16
이유석,굿,2024-09-30 15:21:18
GPTV,그냥 우방,2024-09-30 15:21:18
rtlkfcb,객관적 도덕이 있다 해도 니 생각이 그 객관적 도덕은 아니지,2024-09-30 15:21:20
Life,그리고 전쟁중인데 자꾸 도덕을 찾고 난리야,2024-09-30 15:21:21
M-J,이스라엘은 땅끄를 출격시켜라,2024-09-30 15:21:25
내맘이야,이란전투기고물인데 미사일로 전쟁할수있나,2024-09-30 15:21:27
Beksiński,이란 쫄았다 ㅋ,2024-09-30 15:21:28
Arirang,우리나라도 아이언돔 설치 하자,2024-09-30 15:21:32
이유석,악의축,2024-09-30 15:21:34
M-J,이스라엘은 공격하라,2024-09-30 15:21:34
plin,혼자 10분동안 열불을 띄우시는데 관심이 안쏠리겠습니까 ㅋㅋㅋㅋㅋ,2024-09-30 15:21:36
"이준석 띄우기, 명태균 작품",":face-red-droopy-eyes:국민의힘, 동네 슈퍼도 운영할 능력 없다",2024-09-30 15:21:36
REFHAM,ㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅ,2024-09-30 15:21:38
zzangddukee,야훼는 이미 유대인을 버린지 오래전 ....최후의 심판이 남았고 지금은 므깃도의 전쟁 초입,2024-09-30 15:21:38
rtlkfcb,전쟁에 도덕 갖다 대는 놈들 때문임,2024-09-30 15:21:39
박성춘,:face-red-droopy-eyes::face-red-droopy-eyes::face-red-droopy-eyes:하나님은 선악개념이 없으셨는데 인간이 선악과를 쳐드심으로 말미암아 선악이 인간들에게 생겨부렀잖아:face-red-droopy-eyes::face-red-droopy-eyes::face-red-droopy-eyes:,2024-09-30 15:21:40
아스타나,다윗의별이나 태극문양이나 똑같은,2024-09-30 15:21:40
부동산트리플에이,니들 신나서 방송하는 거같이 보인다 애도하라!,2024-09-30 15:21:42
맑은날,가지치지 중이구만 몸통은 언제 잡나?,2024-09-30 15:21:45
주먹고구마,무식하네 우리나라에 아이언돔 설치하자노,2024-09-30 15:21:46
이유석,잘한다:hand-purple-blue-peace:,2024-09-30 15:21:50
세레비,"이스라엘은 하나님이 세운 나라고, 유대인들은 가나안땅을 받았습니다",2024-09-30 15:21:53
rtlkfcb,전쟁에 도덕이란 없다,2024-09-30 15:21:54
sun kim,쫄티 대장 저 놈도 곧 제거 해야 한다,2024-09-30 15:21:56
지웅쓰,잘한다,2024-09-30 15:21:58
plin,알만한 사람들 다아는거 말해놓고 존나 치명적인 예기 하는것처럼 자기가 대단한것처럼 ,2024-09-30 15:21:58
최 쫙대기,얘들아 전쟁에 도덕은 있을수 없어 전쟁은 안하는게 최선 이지만 하면 무조건 이겨야 하는거야 :smiling_face_with_sunglasses:,2024-09-30 15:21:58
롱만 함,유교 찾는 조선시대ㅇㅔ 왔누,2024-09-30 15:21:59
rtlkfcb,힘쎈 놈이 장땡이다,2024-09-30 15:21:59
"이준석 띄우기, 명태균 작품",:person-turqouise-waving:응급실뺑뺑이로 응급환자 34명중 13명 치료받지 못하고 죽어,2024-09-30 15:22:00
rtlkfcb,이스라엘이 장땡임,2024-09-30 15:22:04
Life,저게 북한이면 공격안하고 협상할거냐,2024-09-30 15:22:12
의자황,중동국가들이 뭉치면 이스라엘은 바로 망함..근데 뒤에 잇는 미국이 무서워서 다들 아닥하는거지,2024-09-30 15:22:13
유지,신이면 모든게 덮어지는게 이슬람종교지,2024-09-30 15:22:15
백도련,이란에 핵미사일 발사 :rocket:,2024-09-30 15:22:18
나그네,후티반군 대변인 왜 저리 얄밉냐?,2024-09-30 15:22:20
이건지,전쟁과 도덕은 말 자체가 모순이다,2024-09-30 15:22:24
"이준석 띄우기, 명태균 작품",":face-orange-raised-eyebrow:이준석, 윤건희 공천개입 2년 숨겨주고 성상납 무혐의",2024-09-30 15:22:24
박성춘,모두 모르면 입 쳐다물어~~~:face-red-droopy-eyes::face-red-droopy-eyes::face-red-droopy-eyes:,2024-09-30 15:22:26
주니,"전쟁에 당연히 도덕이 없지! 일단 죽이고 국민부터,나라부터 살아야 하는데ㅋㅋㅋㅋㅋ",2024-09-30 15:22:26
plin,이란이 방관하는게 아니라 아무것도 못하는 거에요 미국협박때문에 ,2024-09-30 15:22:28
몽구스,정의? 대한민국에 여적도 그런 달달한 것이 남아있는가?,2024-09-30 15:22:29
hope new,예멘을 완전 직이라,2024-09-30 15:22:30
M-J,이스라엘 땅끄가 헤즈볼라 테러리스트를 쏠 때 세계가 환호,2024-09-30 15:22:34
짱이,이스라엘도 푸틴과함께 멸망해라,2024-09-30 15:22:34
대표선수,이스라엘 전투기가 뭐냐?,2024-09-30 15:22:35
세레비,하나님을 거역하면 결국엔 하나님의 저주를 받고 하나님한테 심판받아 지옥불에서 영원히 타죽는 고통을 받는데,2024-09-30 15:22:38
rtlkfcb,이란ㅋㅋㅋ,2024-09-30 15:22:39
아스타나,문재인때 사거리제한 풀리고 군사위성 쏴주고 한거 모르노,2024-09-30 15:22:40
박성춘,알지도 모르면서~~:face-fuchsia-tongue-out::face-fuchsia-tongue-out::face-fuchsia-tongue-out::face-fuchsia-tongue-out:,2024-09-30 15:22:40
밥묵은나?,관종한티 말이 먹히더냐?ㅋㅋㅋ,2024-09-30 15:22:41
가제트,아주. 다 죽여라. 명분이 뭔데,2024-09-30 15:22:43
rtlkfcb,이란은 그냥 입만 살았음,2024-09-30 15:22:44
의자황,이라크 봐봐..찍소리 못하고있잖아..미국 무서워서,2024-09-30 15:22:45
Kym Martin,나찌기 옳았다 ,2024-09-30 15:22:51
Teatoo Kim,테러 중동은 당해야됨,2024-09-30 15:22:51
sun kim,쫄티반군 섬멸 시키자,2024-09-30 15:22:51
mifa soul,서울에서 대만 거리 날아가서 그냥 박살 내버리네 ㅎㅎㅎ,2024-09-30 15:22:52
박성춘,전부 입다물어~~~:face-fuchsia-tongue-out::face-fuchsia-tongue-out::face-fuchsia-tongue-out:,2024-09-30 15:22:55
문재인,헤즈볼라는 테러를 저질른적이 없음,2024-09-30 15:22:57
세레비,이스라엘은 하나님이 만든 신성국가라서 ,2024-09-30 15:22:57
가온,키야 3:1,2024-09-30 15:23:00
rtlkfcb,하마스의 목표는 이스라엘 전멸인데 그럼 이걸 그냥 놔둬?,2024-09-30 15:23:05
세레비,이스라엘은 하나님이 만든 신성한 나라,2024-09-30 15:23:06
백도련,   동맹 든든합니다,2024-09-30 15:23:06
송용년,하마스의테러는 모사드는알고있었다,2024-09-30 15:23:07
이윤형,후티반군 모두 쓰러 버리세요,2024-09-30 15:23:11
Beksiński,이라크가 왜 나오냐?,2024-09-30 15:23:14
롱만 함,주둥이 이란 ㅋㅋ,2024-09-30 15:23:19
Life,우리나라도 북한 일본 전쟁 명분 엄청나다,2024-09-30 15:23:20
mifa soul,이스라엘 대적할 상대가 없어. 이제는,2024-09-30 15:23:21
rtlkfcb,너 같으면 너의 멸절이 목표라면서 덤비는 애들 그냥 놔둬?,2024-09-30 15:23:22
문재인,이스라엘이 테러국가다,2024-09-30 15:23:22
M-J,저넘 보복 한다고 벙커에서 큰소리 치다가 벙커 버스터 백ㅂ발 맞고 사망,2024-09-30 15:23:27
Beksiński,어설프게 아는 애들이 왜 이리 나대냐?,2024-09-30 15:23:28
세레비,하나님이 만든 나라 이스라엘은 하나님 거역하는 사탄 악마 마귀무리들을 심판할수 있어요,2024-09-30 15:23:29
딥슬로,지구를 위해서는 전쟁이든뭐든 인구를 중여야합니다 너무많은 인간때문에 지구가 아파합니다,2024-09-30 15:23:30
M-J,이스라엘 대단,2024-09-30 15:23:32
파트라슈,레바논 그냥 까자. 이스라엘,2024-09-30 15:23:32
이유석,깔아버렷!!,2024-09-30 15:23:32
"이준석 띄우기, 명태균 작품",":person-turqouise-waving:윤석열. 이준석 돌풍, 여론조작 띄우기 정황",2024-09-30 15:23:34
니오늘몇시,후티 대변인 목소리가 여기까지 들리네 ㅋㅋㅋ,2024-09-30 15:23:37
몽구스,모사드가 국정원보다 쎈가용?,2024-09-30 15:23:37
지웅쓰,이라크도 이스라엘 안좋게봄 3차중동전쟁떄 이스라엘한테 개털린전적이있어서 싫어함,2024-09-30 15:23:41
rtlkfcb,헤즈볼라 쓸어버려야 한다.,2024-09-30 15:23:41
Life,역사적으로 선제 공격을 못하는 국가일뿐,2024-09-30 15:23:43
Kym Martin,나찌가 옳았다 돈좀 있다고 말하는 비누들이 건방져 요즘,2024-09-30 15:23:43
Beksiński,ㅋㅋㅋㅋ,2024-09-30 15:23:43
mifa soul,이란과 이스라엘 붙으면 중간에 낀 시리아 작살남 ㅎㅎㅎ,2024-09-30 15:23:48
내맘이야,이스라엘줄을잘서서히틀러한테 유대인대학살은 당해지만 이스라엘 나라건국 피로나라건국,2024-09-30 15:23:49
가온,땅크하면 그분인데,2024-09-30 15:23:52
의자황,원래 중동을 통일하려고 했던게 이라크 후세인.. 미국이 싹다 죽여없애니까 이제 순한양 ,2024-09-30 15:23:52
세레비,사탄과 마귀 악마들이 판치는 미개국가를 징벌하는건 이스라엘은 당연한 의무,2024-09-30 15:23:52
최 쫙대기,이스라엘이 존만해도 지금은 강한넘은 분명해 그러나 다굴에는 장사 없다 :smiling_face_with_sunglasses:,2024-09-30 15:23:53
롱만 함,캬 든든,2024-09-30 15:23:54
가제트,하나님이. 얼마나. 잔인한 분인지. 이스라엘을 보며 배워라,2024-09-30 15:23:56
주먹고구마,바이든 어디가노,2024-09-30 15:23:57
이유석,이교도 천벌 이것은 야훼의 심판,2024-09-30 15:23:57
Beksiński,후티반군 대변인 누가 성대모사 안하나?,2024-09-30 15:23:57
주먹고구마,바이든 또 산책하노,2024-09-30 15:24:06
지웅쓰,시리아도 3차중동전쟁때 이스라엘 공격했다가 개털림,2024-09-30 15:24:07
rtlkfcb,윤리 운운하는 애들이 나치 옹호함 가만 보면 ㅋㅋ,2024-09-30 15:24:08
세레비,이스라엘은 단지 사탄과 마귀 악마 들을 벌주는거에요,2024-09-30 15:24:11
"이준석 띄우기, 명태균 작품",:text-green-game-over:윤건희 2022년부터 공천개입 국정농단 정황,2024-09-30 15:24:13
이유석,야훼의의지다,2024-09-30 15:24:14
한판황,이 타이밍에 중국이 대만을 노리면?,2024-09-30 15:24:14
Life,고구려만 중국 영토 먹고 다녓지,2024-09-30 15:24:15
의자황,즉 미국이 중동을 정리해줘서 이스라엘이 이렇게 날뛸수 있는것임,2024-09-30 15:24:16
예썰,블랙요원 다 뽀룩남,2024-09-30 15:24:16
Beksiński,ㅋㅋㅋ시리아 지금 아무소리 안함 ㅋ,2024-09-30 15:24:23
몽구스,바이든 잘 걷지도 못하노,2024-09-30 15:24:24
세레비,이스라엘 유대인들은 하나님의 종이고 하나님 말씀만 믿는데,2024-09-30 15:24:30
장규현,아주조아.,2024-09-30 15:24:31
"이준석 띄우기, 명태균 작품",":face-red-droopy-eyes:국민의힘, 동네 슈퍼도 운영할 능력 없다",2024-09-30 15:24:33
하누,중국이 대만침공 하면 3차 세계대전 일어나냐 ㅋ,2024-09-30 15:24:33
대표선수,북조선은 세계4위 군사력이라던데,2024-09-30 15:24:36
백도련,이스라엘은 한다면 하는나라임 ㅋㅋㅋ,2024-09-30 15:24:38
짱이,사실상 아프간정쟁은 솔직히 미국이 참패함,2024-09-30 15:24:42
세레비,하나님을 믿는 유대인들에겐 핵무기를 주셨어요,2024-09-30 15:24:43
M-J,3차대전 안 일어납니다,2024-09-30 15:24:44
rtlkfcb,진보 세력 도덕 관념은 나치랑 동급임. ,2024-09-30 15:24:44
mifa soul,아랍 내에서 이란 좀 패줬으면 하는 사우디 쿠웨이트 아랍에미레이트 등 속으로 고소해함.,2024-09-30 15:24:45
의자황,세계 모든 전쟁에 뒷배는 미국이야..우크라이나도 미국만 믿고 러시아랑 싸운거지 ,2024-09-30 15:24:51
Grace Ahn,하니님은 사랑이시다 모든전쟁을 기뻐한ㄷㄴ,2024-09-30 15:24:51
롱만 함,하늘에 선택받은 유대인이 정의다,2024-09-30 15:24:54
주먹고구마,이게 3차대전인데?,2024-09-30 15:24:56
"이준석 띄우기, 명태균 작품",:person-turqouise-waving:응급실뺑뺑이로 응급환자 34명중 13명 치료받지 못하고 죽어,2024-09-30 15:24:57
Beksiński,이란이 이스라엘 job밥으로 알다가 탈탈 털리니 모른체 한다고 정신없슴 ㅋ,2024-09-30 15:25:04
고윤제,그만좀 싸워라!,2024-09-30 15:25:06
박성춘,:face-red-droopy-eyes::face-red-droopy-eyes:이스라엘의 마음이 이제 변했다. 제 정신이 든 것이다. 구약성경에 적힌 모세5경대로 순종을 안하면서~고난이 찾아온것을 이제 알고 순종 하려는것~!!:face-red-droopy-eyes::face-red-droopy-eyes::face-red-droopy-eyes:,2024-09-30 15:25:06
문재인,지금 이스라엘이 잘나가는거 같지만 결국엔 승리하는것은 헤즈볼라다,2024-09-30 15:25:09
딥슬로,중국은 미국이 대만옆에 핵잠수함 한대만 배치해도 깨갱이라고,2024-09-30 15:25:11
Grace Ahn,기뻐하면 안됩니다,2024-09-30 15:25:11
육구훈련소,미군 10퍼만써도 쟤네 지워지긴하지,2024-09-30 15:25:19
이유석,유대인만 천국간다,2024-09-30 15:25:19
문재인,전쟁은 초반에 아무리 잘나가다 끈질기게 버티는 민족성에 못버틴다,2024-09-30 15:25:23
M-J,아니 대만 먹는다고 3차대전 안일어남,2024-09-30 15:25:25
주니,이란 정신승리 오지게 잘함ㅋㅋㅋㅋ,2024-09-30 15:25:26
mifa soul,괜히 이라크 박살내서 이란만 키워준꼴...지금은 후회하고 있지,2024-09-30 15:25:27
주먹고구마,러시아 vs 우크라 / 이스라엘 vs 중동,2024-09-30 15:25:28
주먹고구마,3차대전,2024-09-30 15:25:30
GPTV,천국 너나가,2024-09-30 15:25:31
일신우일신,어떻게 막을라고?,2024-09-30 15:25:34
지웅쓰,헤즈볼라 수장밑에 간부들 다죽었는데 뭔 헤즈볼라가이겨 이미 괴멸이다 ㅋㅋ,2024-09-30 15:25:34
백도련,입으로만 나불나불 ㅋㅋㅋ,2024-09-30 15:25:34
이유석,선택받은 민족이다 유대인은,2024-09-30 15:25:34
plin,러시아가 우크라이나를 침공 했는데 당연히 싸우지,2024-09-30 15:25:37
mifa soul,적당히 지들끼리 견제하게끔 내비둬야 하는 게 좋음,2024-09-30 15:25:43
의자황,미국 없었으면 중국이 대만 진작 먹었지,2024-09-30 15:25:44
이유석,구약성서에 써있다,2024-09-30 15:25:45
Oelsnikman,:smiling_face_with_heart_eyes::smiling_face_with_heart_eyes::smiling_face_with_heart_eyes::smiling_face_with_heart_eyes::smiling_face_with_heart_eyes::smiling_face_with_heart_eyes::smiling_face_with_heart_eyes::smiling_face_with_heart_eyes::smiling_face_with_heart_eyes::smiling_face_with_heart_eyes::smiling_face_with_heart_eyes::smiling_face_with_heart_eyes::smiling_face_with_heart_eyes::smiling_face_with_heart_eyes::smiling_face_with_heart_eyes::smiling_face_with_heart_eyes::smiling_face_with_heart_eyes::smiling_face_with_heart_eyes::smiling_face_with_heart_eyes:,2024-09-30 15:25:47
ㅇㅈ,같은 하느님을 믿는데.. 유대인에게 승리를 주신 하느님,2024-09-30 15:25:47
일신우일신,이스라엘이 이란을 공격하면 미국이 막을까?,2024-09-30 15:25:48
문재인,헤즈볼라는 끈질기게 버틸테고 이스라엘은 전에보다 더 심각한 테러에 직면할거다,2024-09-30 15:25:49
zzangddukee,조만간 이스라엘과 미국은 솔로몬 성전처럼 무너진다,2024-09-30 15:25:51
rtlkfcb,좌파 종특 = 입만 삼,2024-09-30 15:25:52
"Yo, come on, baby",참 꼬멩이들 뭣도 모르고 3차대전이라고 하네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,2024-09-30 15:25:53
세레비,하나님은 항상 예루살렘 수호하는 유대인들을 지켜주십니다,2024-09-30 15:25:54
plin,러시아의 자발적인 행동이 왜 미국이랑 연관되있음,2024-09-30 15:25:55
주먹고구마,대만만 먹었겠냐,2024-09-30 15:25:56
그냥,이스라셀 전 세계를 적으로~~ 일본제국주의,2024-09-30 15:25:56
내맘이야,중동에서 미국이적이라외치는이란을그냥두먼이상하지 반미는죽음 미국의교훈입니다,2024-09-30 15:25:59
ㅇㅈ,알라 믿는 애들 행함이 악이라서 구원을 못 받음,2024-09-30 15:26:06
mifa soul,헤즈볼라는 그냥 힘빠진 행동대장일뿐,2024-09-30 15:26:09
박성춘,:face-fuchsia-wide-eyes::face-fuchsia-wide-eyes::face-fuchsia-wide-eyes:제발 성경 좀 보거라~~암것도 모리면서 아는척 씨부리지 말고...:face-red-droopy-eyes::face-red-droopy-eyes::face-red-droopy-eyes:,2024-09-30 15:26:10
"Yo, come on, baby",에효 꼬멩이들 ㅋㅋㅋ뭘 안다고 3차 대전이라고 말하니 ㅋㅋㅋㅋㅋㅋㅋ,2024-09-30 15:26:15
세레비,하나님의 집 예루살렘을 지키는 유대인들을 하나님은 항상 지켜줍니다,2024-09-30 15:26:18
도야,이스라엘은 정당방위라고 생각합니다.,2024-09-30 15:26:20
Beksiński,어설퍼,2024-09-30 15:26:21
주먹고구마,와 바로 뒤지네,2024-09-30 15:26:21
M-J,ㅓ삐삐 날린건 나중에 영화로 만들자,2024-09-30 15:26:23
의자황,이스라일에 저렇게 날뛸수 잇는것은 100% 미국의 힘,2024-09-30 15:26:26
지웅쓰,그래 헤즈볼라 이미 괴멸임 구심점없어서 못뭉침,2024-09-30 15:26:27
니오늘몇시,우리나라도 배워야함,2024-09-30 15:26:28
소리비,이스라엘 만세!,2024-09-30 15:26:31
mifa soul,이란 뒷배에 그동안 잘 지냈었지. 집체훈련 작전훈련 전혀 없었음. 그동안,2024-09-30 15:26:33
M-J,이스라엘은 전쟁만 하면 다 영화야,2024-09-30 15:26:35
브리만,세레비...장애가 있는듯...도배그만좀 합시다.!,2024-09-30 15:26:36
순풍,콤온아 이미 3차시작햇다,2024-09-30 15:26:42
Life,나중에......,2024-09-30 15:26:42
"이준석 띄우기, 명태균 작품",":face-blue-smiling:주한미국대사, 차기 대통령 이재명 접견",2024-09-30 15:26:42
matthew,나스랄라 사망뉴스 1주일째 내내방송한다.. 이제 새로운 소식으로 뉴스했으면 좋겟다,2024-09-30 15:26:46
rtlkfcb,이스라엘이 정당방위건 아니건 따질 것도 없음. 저정도 파워에 정보력이면 도덕을 초월한거다.,2024-09-30 15:26:50
의자황,미국이 저렇게 무섭다는걸 북한도 눈으로 보고 아는거지..그래서 이스라엘이 이겨야 하는거야 ,2024-09-30 15:26:52
하누,북한 붕괴되면 러시아 중국 서로 북한에 군사 보낼껄 ㅋ,2024-09-30 15:26:52
순풍,알긋냐 아그야,2024-09-30 15:26:53
일신우일신,이스라엘 준비많이 해놓은듯,2024-09-30 15:26:54
가온,알라후 아크바르,2024-09-30 15:26:56
Chang Hug,free palestin,2024-09-30 15:26:56
몽구스,내가 수장할께,2024-09-30 15:26:59
일신우일신,우리무기도 많이 가있음,2024-09-30 15:27:02
zzangddukee,예루살렘은 오랬동안 아람인 아르메니아인들이 지킴,2024-09-30 15:27:02
세레비,하나님은 악마와 마귀 사탄들이 이스라엘을 공격하면 오히려 그들의 죄를 엄히 심판하시는 분,2024-09-30 15:27:07
아오,세계최강 비정규 군이란다 ㅎㅎ 산속에 동굴속에 있을때나 강하겠지,2024-09-30 15:27:08
rtlkfcb,"도덕은 찌질이들 사이에서나 통하는 논리일 뿐, 이스라엘 수준의 정보력이면 도덕을 초월한 것임.",2024-09-30 15:27:10
"Yo, come on, baby",순풍아 ㅋㅋㅋㅋ ㄷ신아 ㅋㅋㅋ3차대전이 뭔 줄 알고 말을 하니 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,2024-09-30 15:27:11
일신우일신,미국통해서도,2024-09-30 15:27:14
