댓글 작성자,댓글 내용,댓글 작성 시간
료마80,이스라엘 세계1위 인정,2024-09-30 14:35:53
kyunghwan,"윤석열,,한국이 미국에 기는 이유",2024-09-30 14:35:58
junggil ha,민간인 포함된 융단폭격이네,2024-09-30 14:36:01
미역,훠훠 ,2024-09-30 14:36:03
kyunghwan,"미국에 덤비면 작살남,,,그래서 핵무기 필요함",2024-09-30 14:36:10
jj jj,헤즈벌라는 그냥 단체이고 북한은 나라임....전혀 틀린 얘기임.....,2024-09-30 14:36:15
뽀율s,김지훈 그거보다도 사우디가 미쿡 겁내 싫어했는데 친정책 하면서 벌어진거야 이란이 고립될까봐,2024-09-30 14:36:15
 user-se5lx6ow3c4 ,앞으로 이스라엘에서 폭탄터져도 할말없네,2024-09-30 14:36:17
나라,폭탄 박으면 꼼짝못해,2024-09-30 14:36:18
젤린오렌지,윤석열도 굳가락 ,2024-09-30 14:36:22
김길동,이스라엘 모사드 진짜 잘키워났네,2024-09-30 14:36:24
이원희,김지훈 // 한국으로 부터 원유 수출 대금을 거의 십년 만에 받은 이란.. 그 액수로 하마스와 헤즈볼라를 작동 시켰는데 그게 하필이면 용병으로 고용하는 형태가 되었지요 그들은 이스라엘이라는 하나의 적을 공격 하기 위해 움직였지만 이스라엘 군의 첨단화된 방호력에 흠집만 내고 사실상 실패했죠,2024-09-30 14:36:25
젤린오렌지,ㅛㅜㄷ가락,2024-09-30 14:36:26
미역,"듕국은 대국,,소국이지만 듕국몽 함꼐해",2024-09-30 14:36:34
뽀율s,최근 사우디가 미국한테 다가감,2024-09-30 14:36:46
문재인,예전에 로스트라다무스가 3차대전 예언했었지. 아랍에서부터 시작된다고 그랬다,2024-09-30 14:36:47
jj jj,북한은 만만한 나라가 아님....해즈볼라랑은 비교불가임,2024-09-30 14:36:50
김기현,모사드는 CIA랑 비슷한 급으로 언급되는것만 해도 이미 뭐,2024-09-30 14:36:57
 user-se5lx6ow3c4 ,쟤들은 참 불안하지.,2024-09-30 14:37:01
미역,:face-blue-smiling:,2024-09-30 14:37:04
료마80,출산율도 OECD 1위 군사능력도 1위 다음 생엔 이스라엘에서 태어나고 싶다!! ,2024-09-30 14:37:09
dmsqkswl,비교불가 ㅇㅈㄹ ㅋㅋㅋㅋㅋ 걍 허접임 무기다 썩었다,2024-09-30 14:37:11
 user-se5lx6ow3c4 ,우리도 저런 일 곧 생기겠지.,2024-09-30 14:37:16
문재인,이제 그 시기가 왔다고 생각한다. 핵전쟁이 임박했다. 러시아와 이란은 핵전쟁으로 시작할것이라 생각한다,2024-09-30 14:37:24
김길동,"헤즈볼라,후티,하마스 vs 북한 전쟁하면 북한이 3일안에 끝낸다",2024-09-30 14:37:32
Gold,후띠 대변인 아직 살아있네,2024-09-30 14:37:32
김기현,재래식 무기만 놓고 보면,2024-09-30 14:37:32
SM A,영원히 불타는 지옥으로. 죄가 너무 많다,2024-09-30 14:37:41
문재인,노스트라 다무스의 예언이 적중하겠구만,2024-09-30 14:37:41
김기현,헤즈볼라가 북한이랑도 꽤 싸울걸,2024-09-30 14:37:44
구독자youtube,"헤즈볼라는 공군, 지대공이 없어서 맞기만 해야됨 ",2024-09-30 14:37:45
이스칸,시원시원하네 ,2024-09-30 14:37:48
신사임당,대변인도 조만간 정리됨,2024-09-30 14:37:50
젤린오렌지,북한탱크 기름칠 덜됐다,2024-09-30 14:37:56
야옹이솜이,후티 ㅋㅋㅋㅋㅋ,2024-09-30 14:37:56
e sens,미국이 발빼는거 보니까 한국도 조만간이네 ,2024-09-30 14:37:57
